"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Smith","Bobby","smithbo06",30,2004,0.22,207.00,186.00,23.00,45.00,9.00,1.00,5.00,23.00,2.00,1.00,17.00,43.00,1.00,2.00,1.00,1.00,4.00
"Smith","Jason","smithja05",27,2004,0.20,209.00,188.00,26.00,49.00,9.00,2.00,5.00,24.00,4.00,1.00,16.00,40.00,1.00,2.00,2.00,1.00,3.00
"Smith","Mark","smithma03",34,2004,0.46,234.00,208.00,28.00,52.00,12.00,1.00,7.00,26.00,2.00,1.00,20.00,39.00,1.00,2.00,1.00,3.00,6.00
"Smitherman","Stephen","smithst02",26,2004,0.16,224.00,201.00,26.00,51.00,11.00,1.00,6.00,27.00,3.00,1.00,19.00,36.00,1.00,2.00,1.00,1.00,4.00
"Snead","Esix","sneades01",28,2004,0.04,201.00,180.00,26.00,49.00,9.00,1.00,6.00,25.00,5.00,3.00,17.00,33.00,1.00,2.00,1.00,1.00,4.00
"Snelling","Chris","snellch02",23,2004,0.09,203.00,181.00,25.00,48.00,9.00,1.00,6.00,25.00,3.00,1.00,18.00,31.00,1.00,2.00,1.00,1.00,5.00
"Snow","J.T.","snowjt01",36,2004,0.81,447.00,380.00,50.00,97.00,20.00,2.00,9.00,51.00,2.00,1.00,55.00,77.00,4.00,7.00,1.00,4.00,8.00
"Snyder","Earl","snydeea01",28,2004,0.17,206.00,183.00,24.00,47.00,9.00,1.00,5.00,23.00,2.00,1.00,18.00,39.00,1.00,2.00,2.00,1.00,4.00
"Sojo","Luis","sojolu01",39,2004,0.18,202.00,183.00,22.00,43.00,8.00,1.00,5.00,23.00,3.00,1.00,15.00,32.00,1.00,2.00,1.00,1.00,4.00
"Sorensen","Zach","sorenza01",27,2004,0.15,222.00,196.00,25.00,49.00,10.00,1.00,6.00,24.00,3.00,3.00,22.00,40.00,1.00,2.00,1.00,1.00,4.00
"Soriano","Alfonso","soriaal01",26,2004,0.88,641.00,595.00,99.00,174.00,37.00,3.00,29.00,83.00,31.00,8.00,32.00,118.00,3.00,9.00,1.00,4.00,8.00
"Sosa","Juan","sosaju01",29,2004,0.00,200.00,179.00,25.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Sosa","Sammy","sosasa01",36,2004,0.87,561.00,480.00,97.00,137.00,21.00,2.00,38.00,97.00,1.00,1.00,72.00,122.00,13.00,4.00,0.00,5.00,11.00
"Spencer","Shane","spencsh01",32,2004,0.79,457.00,406.00,47.00,103.00,21.00,2.00,12.00,53.00,3.00,2.00,41.00,86.00,2.00,4.00,1.00,5.00,8.00
"Spiers","Bill","spierbi01",38,2004,0.01,200.00,179.00,24.00,46.00,9.00,1.00,5.00,23.00,3.00,1.00,17.00,32.00,2.00,2.00,1.00,1.00,4.00
"Spiezio","Scott","spiezsc01",32,2004,0.85,548.00,487.00,68.00,132.00,32.00,4.00,14.00,72.00,6.00,4.00,48.00,64.00,6.00,5.00,3.00,5.00,11.00
"Spivey","Junior","spiveju01",29,2004,0.81,467.00,408.00,68.00,113.00,24.00,4.00,13.00,57.00,6.00,3.00,44.00,88.00,2.00,9.00,2.00,4.00,8.00
"Sprague","Ed","spraged02",37,2004,0.21,200.00,177.00,23.00,48.00,10.00,1.00,5.00,24.00,2.00,1.00,18.00,33.00,1.00,2.00,1.00,2.00,5.00
"Stairs","Matt","stairma01",36,2004,0.78,410.00,354.00,52.00,92.00,21.00,1.00,18.00,57.00,2.00,2.00,46.00,71.00,4.00,7.00,1.00,2.00,8.00
"Stenson","Dernell","stensde01",26,2004,0.28,246.00,217.00,33.00,58.00,12.00,1.00,7.00,31.00,3.00,1.00,24.00,45.00,1.00,2.00,1.00,2.00,4.00
"Stevens","Lee","stevele01",37,2004,0.75,242.00,212.00,29.00,49.00,11.00,1.00,8.00,33.00,1.00,1.00,27.00,51.00,3.00,1.00,0.00,2.00,6.00
"Stewart","Shannon","stewash01",30,2004,0.87,586.00,528.00,85.00,160.00,36.00,4.00,11.00,56.00,10.00,4.00,46.00,62.00,2.00,7.00,1.00,4.00,11.00
"Stinnett","Kelly","stinnke01",34,2004,0.64,314.00,279.00,32.00,69.00,16.00,1.00,8.00,34.00,3.00,1.00,27.00,70.00,3.00,4.00,2.00,2.00,6.00
"Strong","Jamal","stronja01",26,2004,0.01,201.00,179.00,27.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,31.00,1.00,2.00,1.00,1.00,4.00
"Stynes","Chris","stynech01",31,2004,0.79,474.00,422.00,62.00,110.00,25.00,3.00,11.00,58.00,4.00,2.00,40.00,70.00,1.00,5.00,4.00,3.00,10.00
"Surhoff","B.J.","surhobj01",40,2004,0.76,386.00,349.00,41.00,94.00,21.00,1.00,7.00,42.00,4.00,3.00,30.00,40.00,3.00,2.00,2.00,3.00,5.00
"Sutton","Larry","suttola01",34,2004,0.15,202.00,182.00,24.00,44.00,9.00,1.00,6.00,23.00,2.00,1.00,16.00,36.00,1.00,2.00,1.00,1.00,4.00
"Suzuki","Ichiro","suzukic01",31,2004,0.88,635.00,582.00,97.00,185.00,26.00,6.00,10.00,55.00,28.00,9.00,41.00,60.00,11.00,6.00,3.00,3.00,5.00
"Swann","Pedro","swannpe01",34,2004,0.10,209.00,188.00,27.00,47.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,38.00,1.00,2.00,1.00,1.00,5.00
"Sweeney","Mark","sweenma01",35,2004,0.48,260.00,235.00,28.00,58.00,14.00,1.00,6.00,29.00,2.00,2.00,22.00,53.00,1.00,1.00,1.00,1.00,4.00
"Sweeney","Mike","sweenmi01",31,2004,0.84,486.00,423.00,69.00,129.00,26.00,1.00,19.00,77.00,6.00,3.00,54.00,54.00,7.00,3.00,1.00,5.00,11.00
"Taguchi","So","tagucso01",35,2004,0.24,231.00,206.00,31.00,55.00,10.00,2.00,7.00,31.00,3.00,1.00,19.00,37.00,2.00,2.00,3.00,1.00,5.00
"Tarasco","Tony","tarasto01",34,2004,0.26,210.00,188.00,27.00,49.00,10.00,1.00,8.00,26.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,2.00,4.00
"Tatis","Fernando","tatisfe01",29,2004,0.73,341.00,302.00,36.00,71.00,15.00,1.00,9.00,37.00,3.00,1.00,29.00,67.00,1.00,6.00,1.00,3.00,11.00
"Taubensee","Eddie","taubeed01",36,2004,0.24,200.00,179.00,24.00,46.00,8.00,1.00,5.00,22.00,2.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Taylor","Reggie","taylore01",27,2004,0.65,328.00,300.00,39.00,75.00,14.00,3.00,9.00,38.00,9.00,4.00,21.00,79.00,2.00,2.00,3.00,2.00,6.00
"Teixeira","Mark","teixema01",24,2004,0.71,494.00,441.00,59.00,119.00,25.00,4.00,20.00,69.00,3.00,2.00,40.00,92.00,4.00,10.00,1.00,2.00,11.00
"Tejada","Miguel","tejadmi01",28,2004,0.88,623.00,567.00,91.00,163.00,31.00,1.00,26.00,100.00,8.00,2.00,42.00,71.00,4.00,8.00,1.00,5.00,14.00
"Terrero","Luis","terrelu01",24,2004,0.02,202.00,179.00,25.00,50.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,31.00,1.00,3.00,1.00,1.00,4.00
"Thames","Marcus","thamema01",27,2004,0.28,243.00,216.00,32.00,55.00,11.00,1.00,6.00,25.00,3.00,2.00,21.00,43.00,1.00,3.00,1.00,2.00,5.00
"Thomas","Frank","thomafr04",36,2004,0.83,594.00,501.00,74.00,128.00,29.00,1.00,30.00,86.00,2.00,1.00,78.00,104.00,3.00,8.00,1.00,6.00,10.00
"Thome","Jim","thomeji01",34,2004,0.87,610.00,505.00,94.00,140.00,24.00,2.00,41.00,109.00,1.00,2.00,97.00,148.00,11.00,4.00,0.00,4.00,7.00
"Thompson","Ryan","thompry01",37,2004,0.36,215.00,196.00,26.00,50.00,12.00,2.00,7.00,28.00,2.00,1.00,15.00,42.00,1.00,2.00,1.00,1.00,7.00
"Thurston","Joe","thursjo01",25,2004,0.09,207.00,183.00,26.00,52.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,31.00,1.00,2.00,2.00,2.00,4.00
"Toca","Jorge","tocajo01",29,2004,0.04,200.00,179.00,25.00,47.00,9.00,1.00,5.00,23.00,3.00,1.00,17.00,34.00,1.00,2.00,1.00,1.00,4.00
"Torcato","Tony","torcato01",25,2004,0.10,210.00,187.00,24.00,51.00,11.00,1.00,6.00,24.00,3.00,1.00,17.00,34.00,1.00,3.00,2.00,1.00,4.00
"Torres","Andres","torrean02",26,2004,0.51,300.00,268.00,37.00,66.00,10.00,3.00,5.00,25.00,6.00,5.00,22.00,52.00,1.00,2.00,5.00,3.00,7.00
"Torrealba","Steve","torrest01",26,2004,0.07,202.00,179.00,25.00,47.00,9.00,1.00,5.00,23.00,3.00,1.00,18.00,32.00,1.00,2.00,2.00,1.00,4.00
"Torrealba","Yorvit","torreyo01",26,2004,0.59,326.00,291.00,37.00,80.00,17.00,2.00,7.00,40.00,2.00,1.00,26.00,51.00,2.00,3.00,4.00,2.00,9.00
"Tracy","Andy","tracyan01",31,2004,0.14,200.00,178.00,23.00,44.00,9.00,1.00,6.00,24.00,2.00,1.00,17.00,38.00,1.00,2.00,1.00,2.00,4.00
"Trammell","Bubba","trammbu01",33,2004,0.76,277.00,245.00,32.00,61.00,11.00,1.00,10.00,37.00,1.00,1.00,27.00,41.00,1.00,2.00,1.00,2.00,5.00
"Truby","Chris","trubych01",31,2004,0.66,265.00,243.00,26.00,57.00,12.00,2.00,6.00,24.00,2.00,1.00,15.00,57.00,1.00,2.00,2.00,3.00,5.00
"Tucker","Michael","tuckemi01",33,2004,0.83,473.00,418.00,60.00,106.00,21.00,5.00,12.00,55.00,12.00,7.00,43.00,90.00,3.00,3.00,6.00,3.00,7.00
"Tyner","Jason","tynerja01",27,2004,0.67,269.00,246.00,32.00,66.00,9.00,2.00,3.00,20.00,10.00,2.00,17.00,32.00,1.00,2.00,3.00,1.00,4.00
"Ugueto","Luis","uguetlu01",25,2004,0.10,206.00,184.00,39.00,49.00,9.00,1.00,6.00,24.00,9.00,3.00,18.00,34.00,1.00,2.00,1.00,1.00,4.00
"Uribe","Juan","uribeju01",25,2004,0.81,433.00,397.00,53.00,106.00,21.00,6.00,9.00,47.00,7.00,2.00,25.00,76.00,1.00,4.00,4.00,3.00,9.00
"Utley","Chase","utleych01",26,2004,0.39,276.00,244.00,31.00,64.00,15.00,2.00,6.00,36.00,4.00,1.00,23.00,42.00,1.00,6.00,1.00,2.00,6.00
"Valderrama","Carlos","valdeca02",27,2004,0.03,204.00,183.00,25.00,49.00,10.00,1.00,6.00,24.00,4.00,1.00,17.00,34.00,1.00,2.00,1.00,1.00,4.00
"Valdez","Mario","valdema02",30,2004,0.14,200.00,176.00,24.00,47.00,9.00,1.00,5.00,24.00,2.00,1.00,20.00,35.00,2.00,2.00,1.00,1.00,4.00
"Valent","Eric","valener01",27,2004,0.25,223.00,201.00,25.00,50.00,9.00,1.00,5.00,21.00,2.00,1.00,18.00,38.00,1.00,2.00,1.00,1.00,4.00
"Valentin","Javier","valenja01",29,2004,0.38,271.00,248.00,30.00,63.00,13.00,2.00,7.00,31.00,2.00,1.00,18.00,49.00,1.00,2.00,1.00,2.00,8.00
"Valentin","John","valenjo02",37,2004,0.50,224.00,196.00,23.00,48.00,11.00,1.00,5.00,26.00,2.00,1.00,20.00,35.00,1.00,5.00,1.00,2.00,6.00
"Valentin","Jose","valenjo03",35,2004,0.84,537.00,478.00,72.00,117.00,25.00,3.00,25.00,70.00,6.00,3.00,48.00,105.00,3.00,3.00,5.00,3.00,8.00
"Vander Wal","John","vandejo02",38,2004,0.79,412.00,363.00,49.00,93.00,24.00,2.00,12.00,47.00,3.00,3.00,45.00,96.00,4.00,1.00,1.00,2.00,8.00
"Varitek","Jason","varitja01",32,2004,0.81,512.00,452.00,59.00,122.00,28.00,1.00,17.00,70.00,4.00,2.00,46.00,95.00,5.00,6.00,3.00,5.00,12.00
"Vaughn","Greg","vaughgr01",39,2004,0.72,253.00,220.00,30.00,47.00,11.00,1.00,9.00,30.00,3.00,2.00,29.00,57.00,2.00,2.00,0.00,2.00,5.00
"Vaughn","Mo","vaughmo01",37,2004,0.69,304.00,265.00,36.00,66.00,11.00,0.00,12.00,39.00,1.00,1.00,31.00,69.00,3.00,5.00,1.00,2.00,8.00
"Vazquez","Ramon","vazqura01",28,2004,0.79,489.00,433.00,57.00,116.00,20.00,4.00,5.00,38.00,8.00,3.00,47.00,82.00,3.00,2.00,4.00,3.00,6.00
"Velandia","Jorge","velanjo01",29,2004,0.25,236.00,205.00,27.00,51.00,11.00,2.00,5.00,27.00,3.00,1.00,24.00,40.00,2.00,2.00,3.00,2.00,4.00
"Velarde","Randy","velarra01",42,2004,0.60,216.00,191.00,27.00,48.00,10.00,1.00,5.00,19.00,3.00,1.00,18.00,42.00,1.00,4.00,2.00,1.00,5.00
"Ventura","Robin","venturo01",37,2004,0.84,483.00,413.00,54.00,99.00,18.00,1.00,18.00,63.00,2.00,2.00,65.00,88.00,6.00,1.00,1.00,3.00,12.00
"Veras","Quilvio","verasqu01",33,2004,0.42,200.00,177.00,25.00,46.00,9.00,1.00,4.00,21.00,3.00,2.00,17.00,33.00,1.00,3.00,2.00,1.00,4.00
"Victorino","Shane","victosh01",24,2004,0.26,242.00,214.00,29.00,53.00,10.00,1.00,5.00,25.00,8.00,3.00,21.00,40.00,1.00,3.00,2.00,2.00,7.00
"Vidro","Jose","vidrojo01",30,2004,0.86,564.00,500.00,79.00,153.00,34.00,1.00,15.00,69.00,3.00,2.00,51.00,57.00,3.00,6.00,4.00,3.00,14.00
"Vina","Fernando","vinafe01",35,2004,0.84,412.00,373.00,50.00,101.00,18.00,4.00,5.00,35.00,8.00,5.00,23.00,31.00,1.00,11.00,2.00,3.00,7.00
"Vitiello","Joe","vitiejo01",34,2004,0.26,243.00,217.00,31.00,61.00,13.00,1.00,7.00,31.00,2.00,1.00,20.00,40.00,1.00,3.00,1.00,2.00,5.00
"Vizcaino","Jose","vizcajo01",36,2004,0.75,345.00,316.00,39.00,87.00,14.00,3.00,5.00,33.00,3.00,3.00,20.00,40.00,2.00,2.00,5.00,2.00,6.00
"Vizquel","Omar","vizquom01",37,2004,0.84,409.00,361.00,52.00,93.00,18.00,3.00,6.00,37.00,8.00,5.00,35.00,43.00,1.00,3.00,6.00,4.00,9.00
"Wakeland","Chris","wakelch01",29,2004,0.08,200.00,180.00,25.00,48.00,10.00,1.00,6.00,25.00,3.00,1.00,16.00,35.00,1.00,2.00,1.00,1.00,4.00
"Walbeck","Matt","walbema01",35,2004,0.47,281.00,259.00,27.00,59.00,10.00,1.00,5.00,22.00,2.00,2.00,16.00,47.00,1.00,2.00,2.00,2.00,6.00
"Walker","Larry","walkela01",38,2004,0.85,537.00,454.00,84.00,137.00,29.00,4.00,21.00,86.00,7.00,4.00,71.00,83.00,8.00,9.00,0.00,3.00,9.00
"Walker","Todd","walketo04",31,2004,0.87,591.00,536.00,79.00,154.00,34.00,3.00,13.00,69.00,4.00,3.00,45.00,67.00,3.00,2.00,3.00,5.00,13.00
"Ward","Daryle","wardda01",29,2004,0.73,306.00,281.00,28.00,73.00,16.00,0.00,8.00,41.00,1.00,1.00,21.00,51.00,3.00,2.00,0.00,2.00,6.00
"Ward","Turner","wardtu01",39,2004,0.04,200.00,179.00,24.00,46.00,9.00,1.00,5.00,23.00,3.00,1.00,17.00,34.00,2.00,2.00,1.00,1.00,5.00
"Wathan","Dusty","wathadu01",31,2004,0.02,201.00,179.00,25.00,49.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,32.00,1.00,3.00,1.00,1.00,4.00
"Watson","Matt","watsoma02",26,2004,0.09,212.00,189.00,24.00,50.00,11.00,1.00,6.00,25.00,3.00,1.00,18.00,34.00,1.00,2.00,2.00,1.00,5.00
"Weeks","Rickie","weeksri01",22,2004,0.06,207.00,184.00,26.00,50.00,11.00,1.00,6.00,24.00,3.00,1.00,18.00,35.00,1.00,3.00,1.00,1.00,4.00
"Wehner","John","wehnejo01",37,2004,0.13,200.00,177.00,22.00,45.00,9.00,1.00,5.00,21.00,3.00,1.00,19.00,33.00,1.00,2.00,1.00,1.00,5.00
"Wells","Vernon","wellsve01",26,2004,0.85,632.00,583.00,94.00,176.00,38.00,4.00,24.00,96.00,7.00,2.00,36.00,77.00,2.00,5.00,1.00,7.00,15.00
"Werth","Jayson","werthja01",25,2004,0.28,231.00,206.00,29.00,55.00,12.00,1.00,6.00,31.00,4.00,1.00,20.00,46.00,1.00,2.00,1.00,2.00,6.00
"Wesson","Barry","wessoba01",27,2004,0.10,208.00,187.00,26.00,49.00,9.00,2.00,6.00,26.00,3.00,1.00,17.00,35.00,1.00,2.00,1.00,1.00,5.00
"White","Devon","whitede03",42,2004,0.52,200.00,180.00,23.00,47.00,10.00,1.00,6.00,22.00,5.00,1.00,14.00,38.00,1.00,4.00,1.00,1.00,4.00
"White","Rondell","whitero02",32,2004,0.83,516.00,470.00,61.00,128.00,23.00,2.00,19.00,72.00,2.00,2.00,32.00,81.00,2.00,9.00,1.00,4.00,13.00
"Widger","Chris","widgech01",33,2004,0.41,263.00,238.00,27.00,62.00,16.00,1.00,4.00,30.00,2.00,1.00,18.00,43.00,2.00,3.00,2.00,2.00,7.00
"Wigginton","Ty","wiggity01",27,2004,0.75,529.00,477.00,65.00,127.00,30.00,4.00,12.00,63.00,9.00,2.00,40.00,95.00,2.00,7.00,1.00,4.00,12.00
"Wilkerson","Brad","wilkebr01",27,2004,0.83,561.00,477.00,76.00,128.00,29.00,5.00,17.00,63.00,9.00,7.00,74.00,135.00,3.00,4.00,3.00,3.00,6.00
"Wilkins","Rick","wilkiri01",37,2004,0.06,200.00,179.00,24.00,46.00,9.00,1.00,6.00,26.00,3.00,1.00,17.00,34.00,1.00,2.00,1.00,1.00,5.00
"Williams","Bernie","willibe02",36,2004,0.86,530.00,461.00,77.00,134.00,25.00,1.00,16.00,71.00,6.00,2.00,62.00,68.00,6.00,4.00,0.00,3.00,16.00
"Williams","Gerald","willige02",38,2004,0.49,219.00,197.00,29.00,43.00,10.00,1.00,4.00,19.00,6.00,2.00,16.00,37.00,1.00,2.00,3.00,1.00,5.00
"Williams","Matt","willima04",39,2004,0.72,302.00,274.00,36.00,70.00,15.00,1.00,10.00,40.00,2.00,1.00,23.00,50.00,2.00,2.00,0.00,3.00,8.00
"Wilson","Craig","wilsocr03",28,2004,0.77,421.00,367.00,54.00,100.00,17.00,3.00,18.00,58.00,4.00,2.00,36.00,99.00,2.00,15.00,1.00,2.00,9.00
"Wilson","Dan","wilsoda01",35,2004,0.79,408.00,375.00,41.00,98.00,18.00,2.00,8.00,47.00,2.00,1.00,22.00,70.00,1.00,2.00,5.00,4.00,8.00
"Wilson","Enrique","wilsoen01",31,2004,0.62,285.00,259.00,32.00,60.00,12.00,2.00,6.00,29.00,3.00,3.00,18.00,41.00,1.00,2.00,4.00,2.00,7.00
"Wilson","Jack","wilsoja02",27,2004,0.85,566.00,511.00,64.00,131.00,22.00,3.00,8.00,52.00,5.00,3.00,35.00,74.00,3.00,4.00,13.00,3.00,9.00
"Wilson","Preston","wilsopr01",30,2004,0.86,589.00,529.00,81.00,142.00,32.00,2.00,26.00,93.00,15.00,7.00,50.00,123.00,2.00,6.00,1.00,3.00,18.00
"Wilson","Tom","wilsoto02",34,2004,0.69,374.00,332.00,45.00,85.00,18.00,1.00,9.00,45.00,2.00,1.00,33.00,89.00,1.00,4.00,1.00,4.00,7.00
"Wilson","Vance","wilsova01",31,2004,0.66,364.00,330.00,38.00,84.00,14.00,1.00,10.00,47.00,2.00,2.00,21.00,66.00,1.00,8.00,3.00,2.00,8.00
"Winn","Randy","winnra01",30,2004,0.86,597.00,538.00,81.00,156.00,33.00,6.00,11.00,67.00,18.00,6.00,44.00,96.00,1.00,7.00,4.00,4.00,9.00
"Wise","Dewayne","wisede01",26,2004,0.28,212.00,193.00,27.00,48.00,10.00,1.00,6.00,25.00,5.00,1.00,15.00,31.00,1.00,2.00,1.00,1.00,3.00
"Witt","Kevin","wittke01",28,2004,0.56,344.00,315.00,37.00,83.00,13.00,1.00,11.00,36.00,3.00,2.00,23.00,69.00,1.00,2.00,1.00,3.00,6.00
"Womack","Tony","womacto01",35,2004,0.83,447.00,413.00,57.00,105.00,17.00,4.00,4.00,35.00,16.00,6.00,24.00,56.00,1.00,4.00,4.00,2.00,7.00
"Woodward","Chris","woodwch01",28,2004,0.75,428.00,384.00,56.00,103.00,21.00,3.00,12.00,52.00,3.00,2.00,32.00,79.00,1.00,4.00,2.00,6.00,8.00
"Wooten","Shawn","wootesh01",32,2004,0.69,362.00,331.00,37.00,89.00,14.00,1.00,10.00,44.00,3.00,2.00,24.00,59.00,3.00,3.00,1.00,3.00,8.00
"Wright","Ron","wrighro02",28,2004,0.01,200.00,179.00,25.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,5.00
"Young","Dmitri","youngdm01",31,2004,0.83,539.00,486.00,65.00,141.00,28.00,4.00,20.00,68.00,4.00,2.00,42.00,94.00,10.00,7.00,1.00,3.00,17.00
"Young","Eric","younger01",37,2004,0.85,526.00,469.00,68.00,123.00,26.00,2.00,9.00,35.00,22.00,9.00,42.00,45.00,1.00,6.00,6.00,3.00,12.00
"Young","Ernie","younger02",35,2004,0.06,208.00,184.00,24.00,48.00,9.00,1.00,5.00,23.00,3.00,3.00,20.00,36.00,1.00,2.00,1.00,1.00,5.00
"Young","Kevin","youngke01",35,2004,0.77,300.00,268.00,33.00,64.00,16.00,1.00,8.00,32.00,4.00,3.00,27.00,60.00,1.00,3.00,0.00,2.00,8.00
"Young","Mike","youngmi02",28,2004,0.86,620.00,567.00,85.00,160.00,28.00,7.00,13.00,66.00,8.00,3.00,38.00,101.00,1.00,2.00,7.00,6.00,13.00
"Zaun","Gregg","zaungr01",33,2004,0.64,315.00,283.00,32.00,71.00,14.00,1.00,8.00,37.00,3.00,2.00,26.00,46.00,1.00,2.00,2.00,2.00,7.00
"Zeile","Todd","zeileto01",39,2004,0.83,428.00,377.00,47.00,95.00,16.00,1.00,11.00,52.00,2.00,1.00,44.00,69.00,2.00,3.00,0.00,4.00,13.00
"Zinter","Alan","zinteal01",36,2004,0.13,204.00,185.00,25.00,45.00,10.00,1.00,6.00,23.00,2.00,1.00,15.00,40.00,1.00,2.00,1.00,1.00,4.00
"Zoccolillo","Pete","zoccope01",27,2004,0.14,220.00,198.00,24.00,49.00,10.00,1.00,5.00,25.00,3.00,1.00,18.00,40.00,1.00,2.00,1.00,1.00,5.00
"Zuleta","Julio","zuletju01",29,2004,0.23,200.00,179.00,24.00,46.00,9.00,1.00,7.00,28.00,2.00,1.00,16.00,36.00,1.00,3.00,1.00,1.00,4.00
